#谁是卧底词汇库
#格式：大众词|卧底词

坐地吸土|落地生根
牙膏 | 洗面奶
毛巾 | 浴巾
闹钟 | 手表
钥匙 | 门卡
电梯 | 扶梯
地铁 | 轻轨
火车 | 高铁
飞机 | 直升机
自行车 | 电动车
口红 | 唇膏
香水 | 花露水
戒指 | 手镯
耳环 | 耳钉
项链 | 吊坠
衬衫 | T 恤
毛衣 | 卫衣
风衣 | 大衣
短裤 | 七分裤
棉被 | 毛毯
火锅 | 麻辣烫
烧烤 | 铁板烧
奶茶 | 果茶
蛋糕 | 面包
饼干 | 薯片
啤酒 | 白酒
葡萄酒 | 香槟
咖啡 | 可可
绿茶 | 红茶
矿泉水 | 纯净水
玫瑰 | 月季
菊花 | 向日葵
荷花 | 睡莲
仙人掌 | 芦荟
竹子 | 甘蔗
甄嬛传 | 如懿传
琅琊榜 | 庆余年
西游记 | 封神榜
水浒传 | 三国演义
还珠格格 | 情深深雨濛濛
武林外传 | 炊事班的故事
爱情公寓 | 家有儿女
白夜追凶 | 无证之罪
隐秘的角落 | 沉默的真相
狂飙 | 扫黑风暴
开端 | 想见你
人民的名义 | 巡回检察组
亮剑 | 雪豹
仙剑奇侠传 | 轩辕剑
花千骨 | 三生三世十里桃花
楚乔传 | 有翡
延禧攻略 | 如懿传
知否知否 | 梦华录
陈情令 | 山河令
大话西游 | 西游降魔
功夫 | 少林足球
喜剧之王 | 新喜剧之王
无间道 | 寒战
英雄本色 | 喋血双雄
泰坦尼克号 | 阿凡达
哈利波特 | 指环王
复仇者联盟 | 正义联盟
速度与激情 | 变形金刚
肖申克的救赎 | 绿里奇迹
阿甘正传 | 当幸福来敲门
盗梦空间 | 星际穿越
千与千寻 | 龙猫
你的名字 | 天气之子
哪吒之魔童降世 | 大圣归来
战狼 | 红海行动
唐人街探案 | 误杀
夏洛特烦恼 | 西虹市首富
我不是药神 | 送你一朵小红花
流浪地球 | 独行月球
长津湖 | 金刚川
色戒 | 一代宗师
让子弹飞 | 一步之遥
霸王别姬 | 活着
东邪西毒 | 花样年华
重庆森林 | 堕落天使
大红灯笼高高挂 | 秋菊打官司
骇客帝国 | 终结者
蝙蝠侠 | 蜘蛛侠
教父 | 美国往事
这个杀手不太冷 | 暴力街区
长江 | 黄河
太湖 | 西湖
泰山 | 黄山
华山 | 恒山
桂林 | 张家界
九寨沟 | 黄龙
稻城亚丁 | 香格里拉
大理 | 丽江
三亚 | 海口
长城 | 故宫
天安门 | 午门
颐和园 | 圆明园
兵马俑 | 三星堆
布达拉宫 | 大昭寺
敦煌 | 龙门石窟
呼伦贝尔 | 锡林郭勒
撒哈拉 | 戈壁
亚马逊 | 刚果
尼罗河 | 幼发拉底河
太平洋 | 大西洋
印度洋 | 北冰洋
北极 | 南极
喜马拉雅 | 阿尔卑斯
富士山 | 长白山
黄石公园 | 大峡谷
马尔代夫 | 巴厘岛
夏威夷 | 塞班岛
普吉岛 | 苏梅岛
死海 | 里海
贝加尔湖 | 日内瓦湖
尼亚加拉瀑布 | 维多利亚瀑布
地震 | 海啸
台风 | 飓风
龙卷风 | 沙尘暴
极光 | 彩虹
日食 | 月食
流星雨 | 彗星
春天 | 秋天
夏天 | 冬天
梅雨 | 秋老虎
螺丝刀 | 扳手
锤子 | 斧头
筷子 | 叉子
勺子 | 汤匙
锅铲 | 漏勺
炒锅 | 蒸锅
扫帚 | 拖把
吸尘器 | 扫地机
洗衣机 | 烘干机
空调 | 风扇
暖气 | 地暖
微波炉 | 烤箱
电磁炉 | 电陶炉
自行车 | 电动车
汽车 | 摩托车
公交 | 地铁
火车 | 飞机
挖土机 | 推土机
起重机 | 吊车
搅拌机 | 水泥车
梯子 | 脚手架
锯子 | 刨子
钉子 | 螺丝
针 | 线
纽扣 | 拉链
胶水 | 胶带
绳索 | 铁链
锁 | 钥匙
门闩 | 插销
手电筒 | 蜡烛
打火机 | 火柴
拐杖 | 轮椅
助听器 | 眼镜
假牙 | 牙套
手表 | 怀表
指南针 | 罗盘
地图 | 导航仪
算盘 | 计算器
打字机 | 打印机
复印机 | 扫描仪
书包 | 背包
行李箱 | 手提袋
钱包 | 卡包
雨衣 | 蓑衣
太阳镜 | 护目镜
头盔 | 安全帽
帐篷 | 睡袋
登山杖 | 滑雪杖
潜水镜 | 泳镜
历史文化
秦始皇 | 汉武帝
唐太宗 | 康熙帝
武则天 | 慈禧
孔子 | 孟子
老子 | 庄子
李白 | 杜甫
苏轼 | 辛弃疾
关羽 | 张飞
诸葛亮 | 司马懿
曹操 | 刘备
罗马帝国 | 拜占庭
希腊 | 埃及
巴比伦 | 波斯
拿破仑 | 凯撒
亚历山大 | 汉尼拔
伊丽莎白 | 维多利亚
哥伦布 | 麦哲伦
达芬奇 | 米开朗基罗
莎士比亚 | 歌德
火药 | 印刷术
指南针 | 造纸术
蒸汽机 | 内燃机
一战 | 二战
珍珠港 | 诺曼底
柏林墙 | 三八线
长征 | 西行
虎门销烟 | 鸦片战争
辛亥革命 | 五四运动
唐朝 | 宋朝
明朝 | 清朝
罗马 | 巴黎
金字塔 | 长城
斗兽场 | 吴哥窟
卢浮宫 | 大英博物馆
青铜器 | 陶器
甲骨文 | 金文
竹简 | 帛书
科举 | 高考
私塾 | 书院
翰林院 | 国子监
勾践 | 夫差
西施 | 貂蝉
王昭君 | 杨贵妃
十字军东征 | 蒙古西征
丝绸之路 | 茶马古道
大运河 | 坎儿井
闭关锁国 | 改革开放
商鞅变法 | 王安石变法
和亲 | 通婚
禅让 | 世袭
娱乐明星
周杰伦 | 林俊杰
刘德华 | 梁朝伟
成龙 | 李连杰
张学友 | 陈奕迅
王菲 | 那英
张惠妹 | 蔡依林
邓紫棋 | GEM
薛之谦 | 毛不易
李荣浩 | 许嵩
吴亦凡 | 鹿晗
王源 | 易烊千玺
肖战 | 王一博
杨幂 | 赵丽颖
刘亦菲 | 唐嫣
迪丽热巴 | 古力娜扎
范冰冰 | 李冰冰
章子怡 | 巩俐
周迅 | 汤唯
吴京 | 沈腾
黄渤 | 王宝强
徐峥 | 陈思诚
张艺谋 | 陈凯歌
冯小刚 | 姜文
王家卫 | 许鞍华
刘翔 | 姚明
林丹 | 马龙
孙杨 | 宁泽涛
张继科 | 许昕
李娜 | 郑洁
梅西 | C 罗
科比 | 詹姆斯
乔丹 | 约翰逊
费德勒 | 纳达尔
林志玲 | 萧蔷
大 S | 小 S
谢娜 | 何炅
汪涵 | 朱丹
撒贝宁 | 康辉
董卿 | 周涛
贾玲 | 张小斐
马丽 | 沈腾
岳云鹏 | 孙越
汪峰 | 朗朗
李云迪 | 王羽佳
谭盾 | 马友友
黄家驹 | 张国荣
梅艳芳 | 陈百强
邓丽君 | 凤飞飞
赵本山 | 宋丹丹
郭德纲 | 于谦
王菲|那英
元芳|展昭
麻雀|乌鸦
胖子|肥肉
眉毛|胡须
何炅|维嘉
状元|冠军
饺子|包子
端午节|中秋节
摩托车|电动车
高跟鞋|增高鞋
汉堡包|肉夹馍
小矮人|葫芦娃
蜘蛛侠|蜘蛛精
节节高升|票房大卖
反弹琵琶|乱弹棉花
皮蛋|卤蛋
呆萌|可爱
挠痒|按摩
面膜|面具
吴昕|谢娜
张杰|邓超
晨光|真彩
蒙牛|伊利
可口可乐|百事可乐
加多宝|王老吉
盗墓笔记|鬼吹灯
散文|小说
浴缸|鱼缸
眉毛|睫毛
书|本
筷子|竹签
火车|轮船
镜子|玻璃
手|脚
树枝|树干
脸盆|水桶
直尺|三角板
粉丝|米线
电影|电视剧
爷爷|姥爷
古筝|吉他
李湘|谢娜
孟非|乐嘉
玫瑰|月季
董永|许仙
若曦|晴川
金庸|古龙
赵敏|黄蓉
保安|保镖
白菜|生菜
辣椒|芥末
牛奶|豆浆
海豚|海狮
森马|以纯
烤肉|涮肉
纸巾|手帕
杭州|苏州
香港|澳门
首尔|东京
橙子|橘子
葡萄|提子
蝴蝶|蜜蜂
小品|话剧
裸婚|闪婚
新年|跨年
吉他|琵琶
公交|地铁
剩女|御姐
太监|人妖
气泡|水泡
唇膏|口红
毛绒绒|软绵绵
儿孙满堂|早生贵子
烤串|夜宵
针灸|打针
鸭脖子|鸡翅膀
放大镜|眼镜
天天向上|快乐大本营
电话|手机
苹果|梨子
铅笔|钢笔
猫咪|小狗
自行车|摩托车
牛奶|豆浆
白天|晚上
太阳|月亮
星星|萤火虫
书本|杂志
手机|座机
玫瑰|月季
董永|许仙
若曦|晴川
谢娜|李湘
孟非|乐嘉
保安|保镖
白菜|生菜
辣椒|芥末
金庸|古龙
赵敏|黄蓉
海豚|海狮
水盆|水桶
唇膏|口红
森马|以纯
烤肉|涮肉
纸巾|手帕
橙子|橘子
葡萄|提子
蝴蝶|蜜蜂
结婚|订婚
新年|跨年
公交|地铁
红楼梦|甄嬛传
降龙十八掌|九阴白骨爪
香辣牛肉面|红烧牛肉面
口香糖|泡泡糖
李白|杜甫
洗发水|护发素
卫生纸|湿巾
皇宫|城堡
蜘蛛侠|蝙蝠侠
凉席|竹席
拖鞋|凉拖
牙刷|牙线
浴巾|毛巾
吹风机|卷发棒
保温杯|养生壶
雨伞|遮阳伞
睡衣|家居服
螺蛳粉|酸辣粉
奶茶|果茶
蛋挞|泡芙
炸鸡|烤鸡
可乐|雪碧
酸奶|乳酸菌
花生|瓜子
年糕|糍粑
学长|师兄
学妹|师妹
幼师|幼教
护士|护工
厨师|大厨
主播|网红
歌手|唱将
演员|艺人
孙悟空|卡卡罗特
哪吒|敖丙
奥特曼|假面骑士
王者荣耀|英雄联盟
西游记|封神榜
黑猫警长|舒克贝塔
斗罗大陆|斗破苍穹
开心|兴奋
委屈|难过
温柔|体贴
懒惰|佛系
勇敢|胆大
尴尬|社死
浪漫|甜蜜
孤独|寂寞
